year,inc_q,tenure,n,w_sum,mean_tc001,median_tc001,mean_hhtotinc,median_hhtotinc,mean_cy_ratio,mean_share_necessities,mean_share_shelter,mean_share_discretionary,mean_share_food,mean_share_health,mean_share_clothing,mean_share_transport,mean_shelter_over_inc,mean_mortpay_over_inc,mean_cy_ratio_at
2019,Q3,owner_free_clear,575,877721.42,58621.08478569578,53718.64,76791.74002720589,76000,0.7686650650035057,0.47043389402202423,0.23515300321314891,0.5295661059779757,0.17242150084667832,0.06285938996219698,0.04146174310689907,0.18587728790991445,0.1699687414814619,NA,0.8712655984293588
2019,Q3,renter,369,881852.1042,56031.84839048329,50589.57,75874.68483521933,74575,0.7483282378060343,0.5291240443175577,0.31087901941630136,0.47087595568244245,0.17978631753962943,0.038458707361626876,0.05302817942932739,0.15314610833738326,0.21281788032065987,NA,0.849332319359802
2019,Q4,owner_mortgage,892,1652358.02,89004.65808237945,83989.27,116848.7623864954,116000,0.7666369076848536,0.52045595790512,0.3315512114499472,0.47954404209488,0.15432752788955403,0.03457721856561878,0.043958229943585905,0.17442312314804884,0.2426171809193575,0.1346830019736807,0.9084017317017498
2019,Q4,owner_free_clear,530,729288.33,73903.53267476226,64546.84999999999,115339.22046613581,115500,0.646659203560775,0.4275136090240538,0.19421453025444904,0.5724863909759463,0.1749931146277576,0.05830596414184709,0.05252532768794797,0.18537591149714985,0.12008906852087355,NA,0.7716356130584786
2019,Q4,renter,264,598012.3802,71608.01372690761,66301.46,111699.32381886498,110000,0.6439357415125262,0.49194452577780684,0.2840026306978142,0.5080554742221932,0.16877981119782604,0.03916208388216667,0.0589704349585221,0.18840341602176747,0.16842331367248153,NA,0.7543633400230723
2019,Q5,owner_mortgage,923,1823913.5,118538.45773914948,110071.92,202437.88521796674,183000,0.5994657176837929,0.5081536380293398,0.3332382855516866,0.4918463619706603,0.14100605166648011,0.033909300811172965,0.04639897965199516,0.17389263342686603,0.19167005985665964,0.10895181098046336,0.7517456812034476
2019,Q5,owner_free_clear,543,894239.36,102785.15896100011,90569.57,213395.13022944998,186500,0.5040195088485376,0.40520267005527016,0.19333711682224441,0.5947973299447298,0.1620986875902483,0.049766865642777436,0.049413361927518,0.20585790022232534,0.0900689418834482,NA,0.6523080910568687
2019,Q5,renter,102,175136.01,81672.12347602815,73803.62,175385.92012716288,167000,0.470704582897943,0.5333914615856337,0.3431120319050762,0.4666085384143664,0.15806859581341,0.032210833867147355,0.04720532544108535,0.17393349750881817,0.14580572716789467,NA,0.608151825050405
2023,Q1,owner_mortgage,116,458543.0263,60730.60023610174,47803.56,28366.966745824186,29367,6.5408333266249254,0.6150102217573694,0.44927256699065,0.3849897782426305,0.13361051845354258,0.03212713631317692,0.020662659306728826,0.125736296935637,3.4519768071690877,2.101666582612543,4.039790446092833
2023,Q1,owner_free_clear,359,1011496.7398,35562.01101453296,30889.27,27906.31484705622,28123,2.157982286457012,0.5455010094037848,0.2973572203123354,0.4544989905962153,0.1797252099423113,0.06841857914913806,0.02392971369795374,0.13337197434368123,0.5499539102037163,NA,2.20517536866333
