year,province,n,w_sum,mean_nw,median_nw,mean_inc,mean_STK,mean_BND,mean_LIQ,mean_BUS,mean_HOUS,mean_DBT,debt_asset,mean_IG,mean_IT,mean_NIG,nig_over_inc
2016,NB,468,337067.0008,207365.73599639605,84950,57291.51323607559,21287.741540171148,13442.856648237053,43695.59486509762,14889.063781920358,147779.4677741708,53639.614284830044,0.20551155072888294,24965.538848107033,897.0959040007359,24068.442944106297,0.42010485645456414
2016,NL,415,232545.9994,268478.2922750371,140500,67044.55584256118,20050.569884966557,13600.324520577591,46318.371282658445,29065.693782619426,196509.8785136744,69487.28312561545,0.2056046182906038,31721.083183433035,1049.8133673669072,30671.269816066128,0.45747591926912895
2016,NS,560,433211.0005,290474.50973770826,123001,57541.08368642984,39422.81602160906,24349.76237185576,60126.15912038347,25503.729038987778,176126.17344618306,55098.599603375726,0.15944122419835877,44559.429961256814,901.0037887139545,43658.426172542866,0.7587348616939417
2016,ON,3239,5733299.002,567748.5026562315,251350,72650.62561781293,75652.07583998013,29477.18149429679,80591.0277453913,59887.401688373044,420653.91128137184,119123.22790107963,0.17342863682048165,83111.68377759069,1137.595692337054,81974.08808525362,1.1283328586389312
2016,PE,326,63617.9996,326205.6706143429,107126,58408.17130679632,26674.1710313909,16292.610216691397,45863.091037982165,76405.73220789546,177773.58633805581,54973.5840071353,0.1442197688899036,59828.91286437643,914.5810309389112,58914.331833437514,1.0086659197731516
2016,QC,2276,3770568.0015,342461.1441881334,123510,58700.71765678843,38421.76861298768,18381.813590552436,63391.6269233644,55587.52627915352,219489.00550095612,75347.90567934541,0.18034053044864473,56382.77095274496,919.1618513341915,55463.60910141078,0.9448540207923115
2016,SK,787,466348.999,488229.25678219844,176750,73557.4469608704,49334.08414645379,27490.510810084226,86973.45503746528,131370.5607545923,259350.10646758135,87128.65340064984,0.1514338325042936,104100.0080203148,1151.7951028006103,102948.21291751419,1.3995620725156286
2019,AB,1626,1724947.999,638003.8884097667,241000,89323.12550011543,108497.7954330144,43326.08145529324,100793.53771724446,109472.04033144162,390466.80421635165,148665.53009571737,0.18898094497959814,74309.76518867868,402.72725658292114,73907.03793209576,0.8274121345205308
2019,BC,1293,2245418.0018,734727.7416358462,322150,72711.13673780893,63395.43676545502,32222.041549644964,103039.8873674443,69542.21497501801,575285.3245497869,142674.59479883287,0.16261022893851698,47011.9233032288,327.82951175847063,46684.09379147033,0.6420487408938438
2019,MB,530,529272.9991,441227.557528159,191050,70264.90147893131,62259.07091011465,24516.346300068348,81367.21222295806,67624.31374121745,270952.04786439013,90225.77051819419,0.16977176688283854,43822.03403718476,316.8002781837574,43505.233759001,0.6191602470551516
2019,NB,405,350492.9996,209306.44560899812,107530,61179.857459191604,21493.546338572898,11665.393778748521,52154.788683278,12814.607445583344,145049.935514461,55047.42653229585,0.20823385746690956,13049.451761502474,275.8389388495207,12773.612822652954,0.20878788139010054
2019,NL,380,234649.9992,288664.4844625659,155050,68263.19988085686,27521.67302749919,15451.720605478313,49432.454840181155,35927.105225087085,208481.36201775025,72158.92322049708,0.19998404117916715,22475.74992955859,307.7752940200636,22167.97463553853,0.3247426823563705
