year,wealth_detail,n,mean_nw,mean_inc,mean_IG,mean_IT,mean_NIG,nig_over_inc,mean_ig_stk,mean_ig_bus,mean_ig_bnd,mean_ig_liq,mean_ig_dbt,debt_asset
2012,P99-100,234,6714086.1180404825,234488.36562107448,2050784.2715011267,3621.2799890202296,2047162.9915121065,8.730339290352063,798070.8832532382,1029217.5692119623,223852.47119007754,-4560.872148973213,4204.219994821796,0.038966918084395834
2016,P0-20,1910,-5743.009029273892,31790.338365802167,984.5489433886117,497.7872065840391,486.76173680457265,0.015311624909541606,416.9485968169903,10.842150365994739,245.27557274881335,-26.50385513402463,337.98647859083803,1.3625196220251319
2016,P20-40,2178,42351.871170367056,50606.81179250184,7166.616128887963,792.4238863532474,6374.192242534716,0.12595522256312436,3679.3217031336785,616.0812145013443,1978.2746777681261,-117.27460269889967,1010.2131361837137,0.6036970939299527
2016,P40-60,2512,194379.8638962498,67736.91471760768,23361.35771651968,1060.6546294635011,22300.703087056183,0.3292252559778795,12729.521228588828,2054.974554088714,6715.611386619337,-269.3672737919014,2130.6178210147054,0.4117689786679042
2016,P60-80,2576,473488.07158898574,79908.94814438962,61112.09689951924,1251.2497231125599,59860.84717640668,0.7491131915319734,34797.11184318569,6676.972188644515,18020.836432134245,-545.9171172657581,2163.0935528205464,0.22585914020243916
2016,P80-90,1479,910196.1864155531,95683.0716165265,145545.91115402116,1498.2479390218798,144047.66321499925,1.5054665447228301,81083.19556436106,22516.407733950695,40833.24107028839,-1065.21364905987,2178.2804344808806,0.1325751317821854
2016,P90-95,808,1496705.6518727131,109286.88275630049,273928.501556245,1711.262442618657,272217.23911362636,2.4908500658825203,145898.1686098213,56680.7201707993,70436.77661173428,-1656.3120186571862,2569.1481825473516,0.09879352436801705
2016,P95-99,739,2752161.3377754316,144289.8509605068,589696.6699568902,2259.3544309463227,587437.3155259439,4.0712310090799795,261968.53774659912,204026.36691814434,122703.46345464396,-2690.5260315205305,3688.8278690233415,0.07884909339727389
2016,P99-100,227,8934144.688146554,266418.0543031684,2810969.791294998,4171.691962165204,2806798.0993328327,10.535314908271413,992551.0499528232,1571126.1415075671,246795.20903324068,-6104.018666726835,6601.409468093912,0.045061982381197005
2019,P0-20,1662,-7327.268988996271,39624.300291546126,574.3973824414464,178.65234407199054,395.74503836945587,0.009987432849480206,456.52228078951964,-270.14290635196505,258.848651760212,-9.44813770800903,138.61749395168889,1.3128974364345098
2019,P20-40,1771,57258.347440982325,56816.66161943369,5637.481653483783,256.1667892170333,5381.314864266748,0.09471367572265302,3289.1150935334053,311.2692301573159,1772.0170447796538,-44.62318005709554,309.70346507050266,0.5453854078016743
